city_id,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
88,saldanha,0,ZA,1595295925,81,-33.01,17.94,44.6,1.12
89,kununurra,75,AU,1595296209,16,-15.77,128.73,77.0,13.87
90,tasiilaq,93,GL,1595296118,87,65.61,-37.64,44.6,6.93
91,borgarnes,35,IS,1595296210,76,64.54,-21.92,48.2,1.12
92,lavrentiya,100,RU,1595296039,75,65.58,-171.0,47.14,5.41
93,albany,2,US,1595295715,80,42.6,-73.97,80.01,5.1
94,yumen,100,CN,1595296146,24,40.28,97.2,81.14,19.42
95,goshen,20,US,1595295927,64,41.58,-85.83,75.2,6.93
96,galesong,20,ID,1595296211,66,-5.32,119.37,84.2,2.24
97,anadyr,20,RU,1595296069,48,64.75,177.48,62.6,11.18
98,hamilton,40,US,1595295925,69,39.18,-84.53,82.0,5.82
99,the valley,20,AI,1595296060,78,18.22,-63.06,82.99,8.05
100,qaanaaq,77,GL,1595296063,68,77.48,-69.36,46.81,0.65
101,altamira,0,BR,1595296212,71,-3.2,-52.21,74.91,3.0
102,brooks,0,CA,1595296212,51,50.58,-111.89,73.0,3.58
103,margate,0,GB,1595296103,94,51.38,1.39,61.0,4.07
104,tocopilla,100,CL,1595296212,68,-22.09,-70.2,59.27,4.27
105,berdigestyakh,100,RU,1595296213,68,62.1,126.7,69.46,13.62
106,souillac,75,MU,1595296032,77,-20.52,57.52,66.2,11.41
107,salalah,90,OM,1595296166,94,17.02,54.09,80.6,3.36
108,bredasdorp,41,ZA,1595296058,93,-34.53,20.04,57.2,1.12
109,pamplona,0,ES,1595296214,63,42.82,-1.64,64.4,2.24
110,akyab,100,MM,1595296214,83,20.15,92.9,81.79,10.83
111,gornopravdinsk,0,RU,1595296214,63,60.05,69.9,60.08,8.16
112,acapulco,90,MX,1595296214,79,16.86,-99.89,84.2,4.7
113,gazanjyk,0,TM,1595296051,31,39.24,55.52,85.24,5.55
114,upernavik,40,GL,1595296044,56,72.79,-56.15,47.17,8.25
115,sulangan,24,PH,1595296120,71,11.14,123.72,84.67,5.91
116,sidi ali,0,DZ,1595296215,37,36.1,0.42,78.48,6.55
117,severnyy,0,RU,1595296216,77,50.68,36.55,59.0,6.71
118,ambilobe,48,MG,1595296163,74,-13.2,49.05,62.62,3.38
119,la ronge,75,CA,1595296166,68,55.1,-105.28,68.0,5.82
120,esperance,100,AU,1595296076,76,-33.87,121.9,51.8,9.17
121,bull savanna,85,JM,1595296216,82,17.89,-77.59,77.54,10.31
122,yellowknife,20,CA,1595295693,53,62.46,-114.35,73.0,10.29
123,beyneu,22,KZ,1595296217,23,45.32,55.2,85.87,6.13
124,cockburn town,72,TC,1595295967,78,21.46,-71.14,83.32,22.66
125,touros,75,BR,1595296054,100,-5.2,-35.46,71.6,10.29
126,kampong thum,100,KH,1595296217,82,12.71,104.89,81.03,4.29
127,berlevag,100,NO,1595296066,81,70.86,29.09,58.3,7.43
128,kaitangata,17,NZ,1595296069,50,-46.28,169.85,57.0,8.01
129,tiksi,100,RU,1595296075,82,71.69,128.87,49.32,8.16
130,port alfred,0,ZA,1595296065,70,-33.59,26.89,57.79,3.06
131,labuhan,25,ID,1595296119,77,-6.88,112.21,82.71,8.23
132,thompson,75,CA,1595295910,56,55.74,-97.86,71.6,2.24
133,clyde river,90,CA,1595296050,100,70.47,-68.59,42.8,12.75
134,tual,100,ID,1595296151,85,-5.67,132.75,79.48,19.04
135,dawlatabad,0,AF,1595296038,17,36.41,64.91,83.14,4.7
136,itarema,69,BR,1595296041,83,-2.92,-39.92,76.59,13.2
137,asau,2,RO,1595296070,97,46.43,26.4,55.0,5.21
138,tomatlan,83,MX,1595296220,80,19.93,-105.25,78.84,4.07
139,bereda,80,ES,1595296221,100,43.27,-7.54,61.0,7.0
140,castro,13,BR,1595296041,79,-24.79,-50.01,55.36,4.83
141,flinders,11,AU,1595296079,51,-34.58,150.86,62.01,8.99
142,namibe,0,AO,1595296221,59,-15.2,12.15,65.71,3.47
143,west plains,1,US,1595296221,66,36.73,-91.85,84.2,3.36
144,victoria,20,HK,1595295469,66,22.29,114.16,91.0,8.05
145,pevek,34,RU,1595296074,58,69.7,170.31,47.61,3.27
146,atasu,17,KZ,1595296222,41,48.68,71.64,73.99,12.41
147,bac lieu,100,VN,1595296222,68,9.29,105.72,84.45,3.22
148,elmadag,0,TR,1595296223,63,39.92,33.23,66.2,9.17
149,khatanga,99,RU,1595296043,58,71.97,102.5,55.45,4.16
150,pucallpa,0,PE,1595296223,79,-8.38,-74.55,75.92,1.68
151,butaritari,98,KI,1595296043,66,3.07,172.79,82.94,1.14
152,port hardy,75,CA,1595296137,72,50.7,-127.42,66.2,11.41
153,abu zabad,17,SD,1595296224,77,12.35,29.25,73.83,8.34
154,yeppoon,75,AU,1595296062,45,-23.13,150.73,68.0,6.93
155,ostrovnoy,0,RU,1595296143,60,68.05,39.51,62.35,7.9
156,hilo,90,US,1595296032,58,19.73,-155.09,84.2,10.29
157,saint george,1,US,1595295923,11,37.1,-113.58,104.0,10.29
158,iqaluit,90,CA,1595296044,93,63.75,-68.51,44.6,3.36
159,luzhou,100,CN,1595296225,90,28.87,105.44,74.8,5.86
160,techiman,99,GH,1595296226,100,7.59,-1.94,68.5,4.34
